bfg,9947157,9294,5,12
bga,9922103,10030,313,575
bgb,9766074,7683,35,97
bgc,9705421,7680,56,160
bgd,9908512,7857,10,27
bge,9915854,10084,244,398
bgf,9977390,9814,18,46
bgg,9693287,7248,73,126
caa,9936335,7604,10,35
cab,9971026,10106,8,24
cac,9978335,8220,7,24
cad,9937997,9884,162,298
cae,9981277,8703,178,358
caf,9942404,8888,71,263
cag,9763935,11056,5,15
cba,9840129,9427,179,313
cbb,9980914,9133,22,71
cbc,9888784,6248,358,660
cbd,9751170,8716,84,165
cbe,9993668,10084,50,92
cbf,9969224,9356,204,385
cbg,9939533,7483,82,177
cca,9959390,8140,134,180
ccb,9721375,7374,97,274
ccc,9934290,9310,128,247
ccd,9903919,9395,79,246
cce,9819738,8162,5,7
ccf,9836832,7209,10,23
ccg,9796222,7979,27,55
cda,9708226,7613,80,154
cdb,9988952,8411,11,27
cdc,9904899,9388,100,267
cdd,9636404,8126,83,145
cde,9774050,8208,171,371
cdf,9949686,8395,50,99
cdg,9841414,8831,16,51
cea,9987127,8957,30,73
ceb,9999745,9348,42,92
cec,9908038,10888,470,990
ced,9913494,8619,268,421
cee,9902069,10590,26,138
cef,9972825,9526,7,18
ceg,9915571,9796,173,308
cfa,9932684,7135,145,303
cfb,9960157,8713,49,117
cfc,9878741,8413,103,192
cfd,9996617,8344,83,124
cfe,9984672,7092,27,90
cff,9903068,7301,8,23
cfg,9856793,11467,165,266
cga,9914651,7952,46,124
cgb,9971781,8749,33,153
cgc,9987129,9613,156,258
cgd,9995631,9091,65,139
cge,9979661,10638,251,451
cgf,9831972,8506,73,225
cgg,9931221,7445,11,28
daa,9975029,10210,94,319
dab,9847242,10492,40,96
dac,9992076,8057,132,236
dad,9885923,9302,98,223
dae,9892870,8543,86,159
daf,9864083,8006,47,117
dag,9368442,9988,105,298
dba,9931993,8852,252,455
dbb,9775639,7975,185,273
dbc,9700475,8300,28,76
dbd,9917728,7060,254,394
dbe,9994626,9231,38,88
dbf,9807123,8291,27,77
dbg,9961956,8116,7,16
dca,9938687,8330,225,330
dcb,9915466,9261,150,306
dcc,9947891,8930,110,180
dcd,9922534,7936,95,145
dce,9889622,8069,40,85
dcf,9965878,9149,56,154
dcg,9930669,8664,187,344
dda,9747624,9018,335,603
ddb,9969750,9452,136,207
ddc,9500545,10096,6,19
ddd,9649465,8198,43,108
dde,9862742,8901,54,144
ddf,9943387,10736,210,369
ddg,9952009,9491,27,84
dea,9964551,8959,31,63
deb,9969820,9419,126,287
dec,9901054,10481,7,28
ded,9771296,9352,231,336
dee,9972281,9416,67,168
def,9987689,8987,17,30
deg,9561113,9096,74,183
dfa,9859552,9679,24,36
dfb,9943343,6780,141,241
dfc,9695080,9480,27,100
dfd,9890702,9686,235,397
dfe,9934008,9443,236,424
dff,9983433,9405,84,172
dfg,9988747,7924,251,362
dga,9925251,7781,56,89
dgb,9901308,9346,35,90
dgc,9910200,9943,50,127
dgd,9925830,8515,145,276
dge,9828618,10751,180,301
dgf,9726430,9449,9,30
dgg,9981162,8356,871,2173
eaa,9930897,8965,304,497
eab,9913845,10117,88,205
eac,9938251,8188,12,45
ead,9850144,9513,91,195
eae,9862279,8508,24,55
eaf,9805468,9067,194,351
eag,9872108,8736,161,250
eba,9799596,9476,26,71
ebb,9798717,9210,90,142
ebc,9871480,9329,11,41
ebd,9698859,9653,133,188
ebe,9623841,9949,44,95
ebf,9993739,9656,263,454
ebg,9998564,7903,25,59
eca,9994417,9986,93,153
ecb,9983639,7664,169,267
ecc,9756601,10211,77,197
ecd,9573797,8859,13,44
ece,9996086,8906,115,194
ecf,9622688,8724,7,16
ecg,9996418,9027,283,359
eda,9989297,8237,273,424
edb,9770659,8365,66,90
edc,9680826,7099,252,420
edd,9986652,8895,289,489
ede,9809349,8514,103,187
edf,9950851,7079,294,467
edg,9562579,9647,107,223
eea,9750072,9742,159,304
eeb,9914494,8352,408,718
eec,9890709,8696,201,395
eed,9854710,8176,6,19
eee,9749946,10347,5,8
eef,9954831,7914,105,235
eeg,9889750,7983,325,661
efa,9800542,8845,208,306
efb,9976892,9269,35,80
efc,9598712,10029,5,11
efd,9758913,10081,625,1527
efe,9924115,9460,56,87
eff,9861877,8234,113,180
efg,9766506,6933,288,450
ega,9951287,9152,124,237
egb,9862024,9481,73,151
egc,9935095,9062,142,254
egd,9835194,10385,56,112
ege,9871199,8128,229,378
egf,9998906,10160,177,322
egg,9825942,8642,175,268
faa,9723922,8594,195,338
fab,9817685,7614,84,176
fac,9994682,9104,460,707
fad,9908305,8528,78,248
fae,9818803,8289,88,247
faf,9885766,9405,5,10
fag,9954743,9602,135,249
fba,9986408,8322,79,224
fbb,9993755,9615,55,80
fbc,9975974,9055,25,80
fbd,9694470,8589,163,275
fbe,9977225,7972,5,13
fbf,9893075,9352,261,411
fbg,9952475,10410,52,186
fca,9484890,7578,65,105
fcb,9945372,9220,117,266
fcc,9836840,7656,13,38
fcd,9993049,9649,61,171
fce,9932681,8714,290,489
fcf,9902964,8226,339,627
fcg,9913548,8622,14,51
fda,9950436,6736,243,561
fdb,9723660,9930,140,222
fdc,9607656,8203,111,235
fdd,9764510,9513,146,247
fde,9999530,8383,33,119
fdf,9771975,9472,130,285
fdg,9969069,9647,270,443
fea,9941791,8316,75,183
feb,9877093,6447,60,173
fec,9949442,7850,67,261
fed,9675559,9288,9,20
fee,9965124,9378,19,36
fef,9866322,9174,188,432
feg,9981069,8418,356,874
ffa,9807898,10873,99,146
ffb,9881751,9095,570,950
ffc,9933013,8241,61,152
ffd,9858635,9297,32,116
ffe,9998972,9299,11,44
fff,9937733,10677,5,5
ffg,9781694,8244,53,139
fga,9600105,8963,71,235
fgb,9929860,9197,71,122
fgc,9870501,8152,13,41
fgd,9708395,8479,154,250
fge,9969977,9730,121,288
fgf,9716071,8711,17,48
fgg,9975418,8671,5,11
gaa,9921743,8452,170,259
gab,9641153,8354,158,356
gac,9767066,9864,252,438
gad,9894702,8123,189,379
gae,9986836,9128,56,107
gaf,9978373,7696,212,383
gag,9894051,9778,151,304
gba,9641444,9288,79,171
gbb,9848925,10148,144,262
gbc,9670568,9467,172,288
gbd,9755444,8087,128,208
gbe,9988714,8844,273,398
gbf,9773973,8420,107,341
gbg,9818781,9181,14,38
gca,9830546,9264,6,18
gcb,9818948,9496,86,240
gcc,9538121,8136,95,140
gcd,9698251,6924,185,325
gce,9906239,10261,80,140
gcf,9999761,7942,103,271
gcg,9803154,8347,107,210
gda,9488724,9623,201,361
gdb,9953248,9199,95,139
gdc,9901225,8996,104,282
gdd,9926445,9496,75,205
gde,9794196,9171,142,359
gdf,9885610,9175,106,293
gdg,9977264,9920,50,105
gea,9950516,9954,340,535
geb,9860888,8091,223,332
gec,9881480,9910,224,323
ged,9886090,9111,342,760
gee,9824420,7834,203,307
gef,9993651,7543,172,420
geg,9867544,9653,147,233
gfa,9931155,9171,216,293
gfb,9529317,9162,248,397
gfc,9938280,8955,191,301
gfd,9792084,8516,194,291
gfe,9791150,8019,83,192
gff,9563469,7523,15,57
gfg,9970540,7231,255,335
gga,9908751,7481,19,34
ggb,9967451,9068,315,532
ggc,9956825,9289,93,166
ggd,9816417,8616,387,658
gge,9973512,8455,46,125
ggf,9741256,8238,73,159
ggg,9868576,8086,204,279
